Pregunta,Intencion,Pregunta_T1
que pasa se dejo de pagar la tarjeta de credito,Cat_351,que pasa dejo de pagar la tarjeta de credito
son fijas las cuotas?,Cat_219,son fijos los honorarios?
cómo es el proceso para solicitar un préstamo?,Cat_241,¿Cómo es el proceso para solicitar un préstamo?
si nesecito ver mi resumen,Cat_138,Si necesito ver mi resumen
cuanto es el ingreso minimo para se cliente platinum?,Cat_40,¿Cuánto es el ingreso mínimo para un cliente platino?
necesito pagar un tramite site de la dnrpa,Cat_132,Necesito pagar un procedimiento de sitio dnrpa
buenas noches,Cat_19,Buenas noches
robo en domicilio,Cat_265,robo en casa
limite comprar tarjeta platinun,Cat_303,límite de comprar tarjeta de platino
el monto del prestamo personal que debi abonar es el mismo o ya tiene un recargo?,Cat_240,¿El monto del préstamo personal que debería haber pagado es el mismo o ya tiene un recargo?
querer marido cotitular,Cat_38,quiero copropietario marido
solicite un credito hace mas de diez dias,Cat_215,Solicité un crédito hace más de diez días.
necesitaría un préstamo de yo soy cliente santander,Cat_223,Necesitaría un préstamo de Soy cliente de Santander
quisiera saber el vencimiento de mi tarjeta santander rio vissa,Cat_341,Me gustaría saber el vencimiento de mi tarjeta Santander Rio Visa
decime el valor de cuota parte del renta fija al,Cat_174,dime el valor de la renta fija en
como comprar lebac,Cat_157,cómo comprar lebac
como hago para cambiar clave y usuario,Cat_1,¿Cómo cambio la contraseña y el usuario?
puedo sacar otro prestamo,Cat_218,puedo obtener otro prestamo
la tarjeta de débito visa suma puntos?,Cat_323,¿La tarjeta de débito visa agrega puntos?
quiero regularizar mi credito prendario,Cat_192,Quiero regularizar mi crédito de compromiso
cuentan con lineas de préstamos hipotecarios para refaccion de viviendas?,Cat_228,¿Tiene líneas de préstamos hipotecarios para el reemplazo de viviendas?
no quiero que me notifiquen de las inversiones con ese resumen,Cat_179,No quiero ser notificado de las inversiones con ese resumen.
qué puedo hacer con los dolares en mi cuenta?,Cat_178,¿Qué puedo hacer con los dólares en mi cuenta?
se puede incrementar el monto a extraer del cajero?,Cat_287,¿Se puede aumentar la cantidad a retirar del cajero automático?
¿puedo agregar después dinero a este fondo?,Cat_176,¿Puedo agregar dinero a este fondo más adelante?
retirar descubierto,Cat_56,retirarse sin cubrir
en que estado esta el envio de mi tarjeta,Cat_293,¿Cuál es el estado de la entrega de mi tarjeta?
quisiera saber si tengo una tarjeta a mi nombre.,Cat_61,Me gustaría saber si tengo una tarjeta a mi nombre.
obtener resumen,Cat_138,obtener resumen
retiro de efectivo por caja,Cat_128,retiro de efectivo por caja
cómo puedo acceder al préstamo para comprar un auto,Cat_223,¿Cómo puedo acceder al préstamo para comprar un automóvil?
me entraron y me robaron el televisor  que hago?,Cat_265,entraron y robaron la televisión ¿qué hago?
benficios visa women,Cat_357,beneficios de visa para mujeres
desear ver estado distribución plástico,Cat_293,desea ver el estado de distribución de plástico
necesito dinero para refaccion de mi casa actual,Cat_228,Necesito dinero para reemplazar mi casa actual
quiero simular cuanto es la cuota de mi credito hipotecario,Cat_251,Quiero simular cuánto es la cuota de mi préstamo hipotecario
nesecito movimiento,Cat_50,Necesito movimiento
que instrucciones debo seguir para recibir fondos desde el exterior,Cat_32,¿Qué instrucciones debo seguir para recibir fondos del extranjero?
que beneficios tengo si acredito mi sueldo en santander rio,Cat_72,¿Qué beneficios tengo si acredito mi salario en Santander Rio?
querer gestionar clave operar internet,Cat_1,desea administrar la contraseña operar internet
pagar tarjeta credito debitar monto nuevamente,Cat_350,pagar nuevamente el monto de débito de la tarjeta de crédito
alerta saldar,Cat_125,alerta de pago
no me devueven ningun codigo sms,Cat_1,no devuelven ningún código sms
quiero simular un credito para comprar auto,Cat_251,Quiero simular un crédito para comprar un auto
ese traspaso se hizo de manera automatic?,Cat_85,¿Se realizó esta transferencia automáticamente?
quisiera saber porque me estan cobrando imp. ley deb,Cat_122,Me gustaría saber por qué me están cobrando imp. ley de deb
como veo mis servicios adheridos a debito automatico en tarjeta,Cat_93,¿Cómo veo mis servicios adjuntos a la tarjeta de débito automática?
cómo hago para canjear cupones de banco macro por acciones.,Cat_151,¿Cómo cambio cupones de macrobanco por acciones?
refinanciacion de deuda de tarjetas,Cat_308,tarjeta de refinanciación de deudas
necesito rescatar. cuando podré hacerlo?,Cat_175,Necesito rescatar Cuando puedo hacerlo?
querer saldar total deber tarjeta,Cat_342,querer pagar la tarjeta de servicio total
telefono para refinaciar la tarjeta,Cat_308,teléfono para refinar la tarjeta
me quiero hacer cliente,Cat_39,Quiero ser cliente
tengo que alquilar pero necesto un garante ustedes tienen un seguro de caucion?,Cat_261,"Tengo que alquilar pero necesito un garante, ¿tiene una fianza?"
quiero dar de baja a la tarjeta de ccredito,Cat_338,Quiero darme de baja de la tarjeta de crédito
telefono visa,Cat_147,teléfono de visa
ver resumen de tarjeta,Cat_138,ver resumen de tarjeta
para solictar los ultimos movimientos de los meses,Cat_50,para solicitar los últimos movimientos de los meses
yo cobro la jubilación puedo comprar en las farmacias con el descuento,Cat_311,Cobro jubilación puedo comprar en farmacias con el descuento
como puedo modificar el día que me vence el resumen?,Cat_348,¿Cómo puedo modificar el día en que vence el resumen?
querer reclamar tarjeta llegar,Cat_293,quiere reclamar obtener tarjeta
¿cómo doy de baja a un cotitular de mi cuenta?,Cat_38,¿Cómo elimino a un copropietario de mi cuenta?
en el calculo de ingresos de un préstamo hipotecario tengo que sumar o no lo de impuesto a las ganancias?,Cat_249,"En el cálculo de los ingresos de un préstamo hipotecario, ¿debo agregar o no el impuesto sobre la renta?"
cual es el costo por una certificacion de firma?,Cat_94,¿Cuál es el costo de una certificación de firma?
dar de baja correo,Cat_103,cancelar la suscripción de correo
cargar datos de una denuncia de seguro,Cat_265,cargar datos de una queja de seguro
si yo cobro mi sueldo por otro banco que tramites tengo que hacer para pedir un prestamo hipotecario,Cat_238,"Si cobro mi salario a través de otro banco que está procesando, tengo que solicitar un préstamo hipotecario"
habian debitar automatico tarjeta visa amex,Cat_38,tarjeta de débito automática visa amex
necesito cambiar el numero de telefono asociado a mi cuenta,Cat_103,Necesito cambiar el número de teléfono asociado con mi cuenta
seguir envio,Cat_293,continuar enviando
la solicitud de un préstamo hipotecario tiene algun costo?,Cat_223,¿Solicitar un préstamo hipotecario tiene algún costo?
pago de haberes,Cat_69,pago de activos
una consulta cual es el costo de extraer efectivo en el extranjero ?,Cat_96,una consulta ¿cuál es el costo de retirar efectivo en el extranjero?
no puedo generar mi clave personal,Cat_1,No puedo generar mi contraseña personal
baja programa woman,Cat_357,programa de baja mujer
como reponer la tarjeta,Cat_316,como reemplazar la tarjeta
quiera saber si tengo que habilitar mi tarjeta de debito santander universidades para el uso en el exterior ya que en esta semana viajo a peru.,Cat_304,Quiero saber si tengo que habilitar mi tarjeta de débito de Santander Universities para usarla en el extranjero ya que esta semana viajo a Perú.
quiero hacer una tranferencia desde mi celular a un cbu  de otra persona con cuenta en el banco galicia y no me deja hacerlo,Cat_80,Quiero hacer una transferencia desde mi teléfono celular al cbu de otra persona con una cuenta bancaria en Galicia y no me deja hacerlo
para el préstamo toman en cuenta el valor que da el tasador o el de la inmobiliaria?,Cat_217,"para el préstamo, ¿tienen en cuenta el valor dado por el tasador o el agente de bienes raíces?"
préstamo para una unidad usada de no mas de aaños,Cat_228,préstamo para una unidad usada de no más de años
cuál es el costo del seguro de una casa?,Cat_261,¿Cuál es el costo del seguro de hogar?
cómo y cuándo se acredita el dinero del préstamo hipotecario?,Cat_226,¿Cómo y cuándo se acredita el dinero del préstamo hipotecario?
como puedo pedir que me envien un paquete de productos a otra sucursal,Cat_318,¿Cómo puedo solicitar que se envíe un paquete de productos a otra sucursal?
costo del servicio por operar en red banelco,Cat_96,costo del servicio para operar en la red banelco
domicilio asegurar anteriormente quiero cambiar,Cat_267,abordar previamente asegurar que quiero cambiar
necesitaria hacer una transferencia de mi cuenta en usd a mi cuenta en pesos,Cat_166,Tendría que hacer una transferencia de mi cuenta en dólares a mi cuenta en pesos
puedo elegir que dia del mes pagar la cuota del préstamo hipotecario?,Cat_259,¿Puedo elegir qué día del mes pagar la tarifa del préstamo hipotecario?
se puede tener otro ccredito aparte de este?,Cat_218,¿Puedo tener otro crédito aparte de este?
necesito pagar un tramite site de la dnrpa,Cat_132,Necesito pagar un procedimiento de sitio dnrpa
no tengo puntos superclub en mi cuenta aún estado utilizando la tarjeta de credito,Cat_325,"No tengo puntos de súper club en mi cuenta, todavía he estado usando mi tarjeta de crédito"
necesitar adherir aysa tarjeta,Cat_132,necesita adjuntar una tarjeta aysa
paquete disponible,Cat_39,paquete disponible
quiero saber si tengo que retirar la tarjeta en alguna sucursal,Cat_293,Quiero saber si tengo que retirar la tarjeta en una sucursal
que tendría que hacer para acumular millas con las tarjetas de advantage?,Cat_274,¿Qué tendría que hacer para ganar millas con tarjetas de ventaja?
no me llego una transferencia que me hicieron del exterior y la necesito cuanto antes,Cat_33,No recibí una transferencia desde el extranjero y la necesito lo antes posible
donde encuentro la opcion para comprar letes?,Cat_157,¿Dónde puedo encontrar la opción de comprar leche?
para solicitar un préstamo personal es requisito tener antigí¬≠¬≠¬≠¬≠¬ºedad como cliente del banco?,Cat_220,"Para solicitar un préstamo personal, ¿es necesario ser una persona de la tercera edad como cliente del banco? hormiga ¬ ≠ ¬ ≠ ¬ ≠ ¬"
necesito un numero de telefono,Cat_147,necesito un numero de telefono
como calculo los ingresos como monotribustista para obtener un préstamo hipotecario?,Cat_249,¿Cómo calculo el ingreso como monotributista para obtener un préstamo hipotecario?
quisiera saber y modificar el porcentaje del limite de la tarjeta de credito que tengo el adicional,Cat_335,Me gustaría saber y modificar el porcentaje del límite de la tarjeta de crédito que tengo adicional
que compras me permiten acumular millas?,Cat_274,¿Qué compras me permiten acumular millas?
no sé cuanto tengo que pagar de la tarjeta.,Cat_342,No sé cuánto tengo que pagar con la tarjeta.
quiero un seguro en caso que me roben el celular,Cat_261,Quiero un seguro en caso de que me roben mi celular
como puedo desbloquear la clave cajero,Cat_288,¿Cómo puedo desbloquear la llave del cajero?
ustedes me aplican una comisión por la transferencia?,Cat_83,¿Me cobran una tarifa de transferencia?
suscribir tipo aviso,Cat_125,suscripción tipo aviso
ayer pague edesur por error  cuando ya lo habia pagado por otros medios como hago para anular el pago,Cat_129,"ayer pagué edesur por error cuando ya había pagado por otros medios, como lo hago para cancelar el pago"
contacto telefonico de santander rio,Cat_147,contacto telefónico de santander rio
que idioma sabes hablar,Cat_20,que idioma sabes hablar
¿podrías darme información sobre los préstamos del banco?,Cat_225,¿Podría darme información sobre préstamos bancarios?
cuando me avilitan latarjeta ya pague el plan de pago,Cat_314,cuando habilitan mi tarjeta ya pagué el plan de pago
pago atrasado tarjeta,Cat_349,tarjeta de pago tardío
estoy empezando que hago,Cat_10,"Estoy empezando, ¿qué hago?"
necesito aumentar mi paquete y pasarme a otro tipo de cuenta,Cat_86,Necesito aumentar mi paquete y cambiar a otro tipo de cuenta
pago por homebanking,Cat_132,pago por homebanking
que billetes acepta el cajero automatico?,Cat_110,¿Qué facturas acepta el cajero automático?
necesito llamen deuda,Cat_194,Necesito llamar deuda
cual es la tassa de hipotecarios uvas,Cat_258,cual es la tasa de uva hipotecaria
yo tenía debito automatico para monotributo  modifique mi situación y esa modificación no se tradujo en el debito,Cat_129,"Tenía débito automático para monotax, modifiqué mi situación y esa modificación no se tradujo en débito"
me atrase cuotas en el credito prendario necesito regularizar la deuda,Cat_192,Estoy atrasado en las cuotas del crédito de compromiso. Necesito regularizar la deuda.
acabo de ir a buscar una tarjeta de debito y no sé mi clave como la puedo recuperar,Cat_288,"Acabo de obtener una tarjeta de débito y no sé mi contraseña, ¿cómo puedo recuperarla?"
necesito saber la escribania que tengo asignada para la cancelación d ela hipoteca,Cat_207,Necesito saber el notario que he asignado para la cancelación de la hipoteca.
algun telefono llamar,Cat_147,cualquier llamada telefónica
me tienen que dar una autorización para vender el auto del préstamo?,Cat_260,¿Tiene que darme una autorización para vender el auto de préstamo?
