Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
saber que tipo de amortización tienen los creditos personales,Cat_252,saber qué tipo de reembolso tienen los créditos personales,saber que tipo de amortizacion tienen los creditos personales,saber que tipo de reembolso tienen los creditos personales
tengo la luz adherida al débito automatico?,Cat_93,¿Tengo la luz conectada al débito automático?,tengo la luz adherida al debito automatico,tengo la luz conectada al debito automatico
me robaron y queria saber como proceder porque estoy asegurada,Cat_265,Me robaron y quería saber cómo proceder porque estoy asegurado,me robaron y queria saber como proceder porque estoy asegurada,me robaron y queria saber como proceder porque estoy asegurado
cómo agrego un servicio a la agenda de pagos,Cat_132,¿Cómo agrego un servicio al calendario de pagos?,como agrego un servicio a la agenda de pagos,como agrego un servicio al calendario de pagos
direccion de sucursal,Cat_91,dirección de sucursal,direccion de sucursal,direccion de sucursal
quiero obtener visa santander,Cat_337,Quiero obtener una visa de Santander,quiero obtener visa santander,quiero obtener una visa de santander
algun nro de tel para comunicarme,Cat_147,cualquier número de teléfono para comunicarse,algun nro de tel para comunicarme,cualquier numero de telefono para comunicarse
necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,Cat_283,Necesito usar mi tarjeta de débito y en la solicitud de postnet para solicitar autorización,necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,necesito usar mi tarjeta de debito y en la solicitud de postnet para solicitar autorizacion
que son las tarjetas sin contacto ?,Cat_291,¿Qué son las tarjetas sin contacto?,que son las tarjetas sin contacto,que son las tarjetas sin contacto
tarjeta extranjero,Cat_289,tarjeta extranjera,tarjeta extranjero,tarjeta extranjera
qué pasa que me cobran caja de seguridad si ni siquiera la uso?,Cat_92,¿Qué sucede si me cobran seguro si ni siquiera lo uso?,que pasa que me cobran caja de seguridad si ni siquiera la uso,que sucede si me cobran seguro si ni siquiera lo uso
olvide mi contraseña,Cat_1,Olvidé mi contraseña,olvide mi contrasena,olvide mi contrasena
tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio?,Cat_239,Tenía una pregunta sobre el pago de un préstamo. ¿Se puede pagar en efectivo a través de una terminal de autoservicio?,tenia una consulta con respecto al pago de un prestamo se puede pagar en efectivo a traves de una terminal de autoservicio,tenia una pregunta sobre el pago de un prestamo se puede pagar en efectivo a traves de una terminal de autoservicio
deseo abrir una caja de ahorro en pesosss,Cat_39,Quiero abrir una caja de ahorros en pesos.,deseo abrir una caja de ahorro en pesosss,quiero abrir una caja de ahorros en pesos
puedo aumentar la linea crediticia disponible?,Cat_196,¿Puedo aumentar la línea de crédito disponible?,puedo aumentar la linea crediticia disponible,puedo aumentar la linea de credito disponible
que tasa de interés debo pagar por el ccredito hipotecario?,Cat_258,¿Qué tasa de interés debo pagar en la hipoteca?,que tasa de interes debo pagar por el ccredito hipotecario,que tasa de interes debo pagar en la hipoteca
que tiempo demora la reimpresion de mi tarjeta de debito,Cat_316,¿Cuánto tiempo lleva reimprimir mi tarjeta de débito?,que tiempo demora la reimpresion de mi tarjeta de debito,cuanto tiempo lleva reimprimir mi tarjeta de debito
voy a usar las tarjetas en el exterior,Cat_304,Usaré las tarjetas en el extranjero,voy a usar las tarjetas en el exterior,usare las tarjetas en el extranjero
me podras brindar la informacion por adherir servicios a debito automatico?,Cat_132,¿Me puede dar la información para unir servicios a débito automático?,me podras brindar la informacion por adherir servicios a debito automatico,me puede dar la informacion para unir servicios a debito automatico
querer cambiar contraseña acceso,Cat_1,desea cambiar la contraseña de acceso,querer cambiar contrasena acceso,desea cambiar la contrasena de acceso
olvide clave banelco?,Cat_288,olvida la llave de banelco?,olvide clave banelco,olvida la llave de banelco
cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente?,Cat_85,¿Cómo transfiero de mi caja de ahorros a mi cuenta corriente?,como hago una transferencia de mi caja de ahorros a mi cuenta corriente,como transfiero de mi caja de ahorros a mi cuenta corriente
quisiera enviar mi cv,Cat_102,Me gustaría enviar mi CV,quisiera enviar mi cv,me gustaria enviar mi cv
no me pagaron la pension,Cat_37,no me pagaron la pensión,no me pagaron la pension,no me pagaron la pension
caja de ahorro para monotributista,Cat_39,caja de ahorro monotributista,caja de ahorro para monotributista,caja de ahorro monotributista
yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_322,Uso el comodín de combustible que quiero saber cuando me devuelvan mi dinero,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,uso el comodin de combustible que quiero saber cuando me devuelvan mi dinero
consultar saldo tarjeta american express,Cat_303,consultar saldo de la tarjeta American Express,consultar saldo tarjeta american express,consultar saldo de la tarjeta american express
donde veo las operaciones a confirmar,Cat_343,donde veo las operaciones para confirmar,donde veo las operaciones a confirmar,donde veo las operaciones para confirmar
dar de baja una cuenta universitaria,Cat_41,cancelar la suscripción de una cuenta universitaria,dar de baja una cuenta universitaria,cancelar la suscripcion de una cuenta universitaria
podemos hacer un simulacro?,Cat_251,podemos hacer un simulacro?,podemos hacer un simulacro,podemos hacer un simulacro
hacer recargar subir cargar dinero,Cat_129,recargar subir cargar dinero,hacer recargar subir cargar dinero,recargar subir cargar dinero
reimpresión de tarjeta de ccredito santander,Cat_316,reimpresión de tarjeta de crédito santander,reimpresion de tarjeta de ccredito santander,reimpresion de tarjeta de credito santander
costo transferencia banco santander,Cat_83,costo de transferencia bancaria santander,costo transferencia banco santander,costo de transferencia bancaria santander
necesito pagar agip,Cat_132,Necesito pagar agip,necesito pagar agip,necesito pagar agip
pero quiero obtener una clave para mi tarjeta de ccredito american express,Cat_288,pero quiero obtener una clave para mi tarjeta de crédito American Express,pero quiero obtener una clave para mi tarjeta de ccredito american express,pero quiero obtener una clave para mi tarjeta de credito american express
no puedo pagar o extraer dinero con mi tarjeta santander,Cat_286,No puedo pagar ni retirar dinero con mi tarjeta Santander,no puedo pagar o extraer dinero con mi tarjeta santander,no puedo pagar ni retirar dinero con mi tarjeta santander
cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito?,Cat_344,¿Cómo puedo averiguar el número de cuenta de mi tarjeta de crédito Santander?,como hago para saber el numero de cuenta de mi tarjeta santander ccredito,como puedo averiguar el numero de cuenta de mi tarjeta de credito santander
que valor de devolución tiene y que cuota del seguro para un samsung s plus?,Cat_261,¿Cuál es el valor de devolución y cuál es la tarifa del seguro para un Samsung s plus?,que valor de devolucion tiene y que cuota del seguro para un samsung s plus,cual es el valor de devolucion y cual es la tarifa del seguro para un samsung s plus
quiero cerrar mi cuenta,Cat_41,Quiero cerrar mi cuenta,quiero cerrar mi cuenta,quiero cerrar mi cuenta
dan préstamos a monotributustas,Cat_248,dan préstamos a monotributistas,dan prestamos a monotributustas,dan prestamos a monotributistas
queria pagarle el sueldo a un empleado pero necesito ayuda,Cat_69,Quería pagarle un salario a un empleado pero necesito ayuda,queria pagarle el sueldo a un empleado pero necesito ayuda,queria pagarle un salario a un empleado pero necesito ayuda
soy cliente y necesito un prestamo,Cat_223,Soy cliente y necesito un préstamo.,soy cliente y necesito un prestamo,soy cliente y necesito un prestamo
simulador.de prestamo,Cat_251,simulador de préstamo,simulador de prestamo,simulador de prestamo
quisiera saber sobre creditos personales,Cat_225,Me gustaría saber sobre créditos personales.,quisiera saber sobre creditos personales,me gustaria saber sobre creditos personales
quiero saber cuales son los pagos que hice con tarjeta de credito,Cat_279,Quiero saber cuáles son los pagos que hice con una tarjeta de crédito,quiero saber cuales son los pagos que hice con tarjeta de credito,quiero saber cuales son los pagos que hice con una tarjeta de credito
que es el coeficiente de estabilización de referencia,Cat_107,cual es el coeficiente de estabilización de referencia,que es el coeficiente de estabilizacion de referencia,cual es el coeficiente de estabilizacion de referencia
saber donde llegar tarjeta nueva,Cat_293,saber dónde obtener una nueva tarjeta,saber donde llegar tarjeta nueva,saber donde obtener una nueva tarjeta
quisiera dar de baja una poliza como puedo hacerlo y donde?,Cat_262,"Me gustaría cancelar una política, ¿cómo puedo hacerlo y dónde?",quisiera dar de baja una poliza como puedo hacerlo y donde,me gustaria cancelar una politica como puedo hacerlo y donde
cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario?,Cat_240,¿Cuánto tiempo llevará terminar la casa si no puedo pagar el préstamo hipotecario?,cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario,cuanto tiempo llevara terminar la casa si no puedo pagar el prestamo hipotecario
me pide autorización de una compra por internet,Cat_283,pide autorización de una compra en línea,me pide autorizacion de una compra por internet,pide autorizacion de una compra en linea
se puede pagar una infraccion de transito por este medio?,Cat_132,¿Se puede pagar una infracción de tráfico por este medio?,se puede pagar una infraccion de transito por este medio,se puede pagar una infraccion de trafico por este medio
como pagar el limite de acuerdo,Cat_56,cómo pagar el límite del acuerdo,como pagar el limite de acuerdo,como pagar el limite del acuerdo
el cajero automatico no me dio el dinero de una extración,Cat_297,el cajero automático no me dio el dinero para un retiro,el cajero automatico no me dio el dinero de una extracion,el cajero automatico no me dio el dinero para un retiro
tengo dudas sobre comisiones que cobra el banco,Cat_96,Tengo preguntas sobre las tarifas cobradas por el banco,tengo dudas sobre comisiones que cobra el banco,tengo preguntas sobre las tarifas cobradas por el banco
necesio pagar por pagos mis cuenta una tarjeta cencosud,Cat_132,Necesito pagar los pagos de mi cuenta con una tarjeta cencosud,necesio pagar por pagos mis cuenta una tarjeta cencosud,necesito pagar los pagos de mi cuenta con una tarjeta cencosud
hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes?,Cat_348,¿Hay alguna forma de cambiar el ciclo de mi tarjeta para que no caduque los primeros días del mes?,hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros dias del mes,hay alguna forma de cambiar el ciclo de mi tarjeta para que no caduque los primeros dias del mes
canje por entrada de espectáculos superclub,Cat_322,cambio de entradas para el show del superclub,canje por entrada de espectaculos superclub,cambio de entradas para el show del superclub
me decís como puedo hacer para ver mi resumen de cuenta,Cat_138,dime cómo puedo ver el resumen de mi cuenta,me decis como puedo hacer para ver mi resumen de cuenta,dime como puedo ver el resumen de mi cuenta
donde me pueden mostrar el listado de concesionarios?,Cat_223,¿Dónde puede mostrarme la lista de distribuidores?,donde me pueden mostrar el listado de concesionarios,donde puede mostrarme la lista de distribuidores
cuales son los gastos asociados al préstamo hipotecario?,Cat_231,¿Cuáles son los gastos asociados con el préstamo hipotecario?,cuales son los gastos asociados al prestamo hipotecario,cuales son los gastos asociados con el prestamo hipotecario
